Date,Time,Latitude,Longitude,Magnitude,Epicenter
2072-3-6,02:40,28.17,84.94,4.2,Gorkha
2072-3-5,18:08,28.65,82.76,5.4,Rukum
2072-3-5,01:50,28.26,84.92,4,Gorkha
2072-3-3,08:24,28.14,85.11,4.1,Dhading
2072-3-2,08:00,28.27,85.94,5.1,Tibet
2072-3-2,06:26,27.9,85.58,4,Sindhupalchok
2072-3-2,06:14,27.91,85.59,5.2,Sindhupalchok
2072-3-2,05:58,27.68,85.28,4.4,Kathmandu
2072-3-1,21:56,27.7,86.16,4.1,Dolakha
2072-2-32,15:52,27.87,85.72,4.1,Sindhupalchowk
2072-2-31,15:01,27.74,86.26,4.1,Dolakha
2072-2-31,05:59,27.8,85.15,4.2,Nuwakot
2072-2-30,07:03,27.73,86.16,5.2,Dolakha
2072-2-30,01:22,28.21,84.81,4.6,Gorkha
2072-2-29,10:19,27.67,86.09,4.4,Dolakha
2072-2-29,00:26,27.67,86.07,4,Dolakha
2072-2-28,21:57,27.96,85.73,5.3,Sindhupalchowk
2072-2-28,10:02,27.8,85.78,4.6,Sindhupalchowk
2072-2-28,02:50,27.87,85.81,4.1,Sindhupalchowk
2072-2-27,14:51,27.62,86.1,4.2,Dolakha
2072-2-27,13:36,27.8,85.61,4.3,Sindhupalchowk
2072-2-24,22:35,27.87,86.13,4.1,Dolakha
2072-2-24,11:02,27.9,85.64,4.6,Sindhupalchowk
2072-2-24,02:33,28.26,85.86,4.2,Tibet
2072-2-23,22:45,27.58,86.18,4,Dolakha
2072-2-22,14:16,27.7,85.22,4,Kathmandu
2072-2-22,10:02,27.79,85.78,4.1,Sindhupalchowk
2072-2-21,16:15,27.76,86.2,4,Dolakha
2072-2-21,02:45,27.84,85.78,4.1,Sindhupalchowk
2072-2-20,17:38,27.7,86.26,4.5,Dolakha
2072-2-20,14:39,27.76,86.07,4.2,Dolakha
2072-2-20,13:37,27.79,85.87,4.5,Sindhupalchowk
2072-2-20,02:18,30,81.75,4.7,Humla
2072-2-19,10:48,27.78,86.2,4,Dolakha
2072-2-19,04:35,27.98,85.51,4,Sindhupalchowk
2072-2-18,19:39,28.29,84.46,4.2,Lamjung
2072-2-17,02:20,28.01,85.19,4,Rasuwa
2072-2-17,07:37,27.75,85.21,4,Dhading
2072-2-16,03:58,27.79,85.17,4.5,Nuwakot
2072-2-16,14:15,28.17,84.72,4,Gorkha
2072-2-16,11:05,28.07,84.94,4.2,Dhading
2072-2-16,21:29,28,84.98,5.2,Dhading
2072-2-15,06:22,27.82,86.34,4.2,Dolakha
2072-2-15,18:15,28.01,84.84,4.8,Dhading
2072-2-15,11:14,27.77,86.25,4.2,Dolakha
2072-2-15,10:57,27.64,85.31,4,Kathmandu
2072-2-15,09:25,27.95,84.8,4,Dhading
2072-2-15,08:52,27.99,84.79,4,Dhading
2072-2-14,17:59,27.59,86.16,4.1,Dolakha
2072-2-14,17:21,27.59,86.19,4.2,Dolakha
2072-2-14,04:01,27.94,85.54,4,Sindhupalchowk
2072-2-14,19:01,27.89,85.53,4.6,Sindhupalchowk
2072-2-14,19:00,27.91,85.53,4.5,Sindhupalchowk
2072-2-13,17:48,27.59,86.2,4.2,Dolakha
2072-2-13,04:14,28.04,85.13,4.2,Nuwakot
2072-2-13,01:45,27.54,85.43,4.3,Lalitpur
2072-2-13,00:24,27.71,86.05,4.1,Dolakha
2072-2-13,23:33,27.63,86.3,4.1,Dolakha
2072-2-13,19:56,27.84,86.24,4.3,Dolakha
2072-2-12,04:37,28.02,85.26,5,Rasuwa
